records,throughput,memory_bytes,adds,modifies,cancels,trades,fills,add_p50_ns,add_p99_ns,add_p999_ns,modify_p50_ns,modify_p99_ns,modify_p999_ns,cancel_p50_ns,cancel_p99_ns,cancel_p999_ns,trade_p50_ns,trade_p99_ns,trade_p999_ns,fill_p50_ns,fill_p99_ns,fill_p999_ns
275000000,5656063,195279608,480796,0,492011,15815,11378,70,361,501,0,0,0,110,551,821,30,40,60,110,521,671
276000000,5688297,195279608,479891,0,493156,15717,11236,60,351,521,0,0,0,110,541,781,20,41,50,110,461,651
277000000,5702520,195279608,476219,0,490995,18708,14078,60,350,491,0,0,0,110,541,802,20,40,50,110,541,672
278000000,5733059,195279608,480072,0,492342,16071,11515,70,361,491,0,0,0,110,511,781,20,40,51,110,481,752
279000000,5726004,195279608,478063,0,492902,16878,12157,70,350,501,0,0,0,110,531,782,20,41,60,100,461,631
280000000,5720836,195279608,476388,0,489754,19631,14227,61,341,491,0,0,0,110,531,782,20,50,51,110,591,732
281000000,5706425,195279608,478460,0,491152,17827,12561,60,351,501,0,0,0,110,541,772,20,40,51,110,541,712
282000000,5706053,195279608,481218,0,492984,15426,10372,61,370,511,0,0,0,110,531,822,20,40,50,110,541,621
283000000,5669015,195279608,479666,0,494474,14998,10862,60,350,511,0,0,0,110,541,812,20,41,60,110,471,571
284000000,5649993,195279608,480353,0,493218,15716,10713,60,341,511,0,0,0,111,541,791,20,50,60,110,531,651
285000000,5696101,195279608,480109,0,492023,16378,11490,60,361,511,0,0,0,111,541,792,20,40,60,110,551,691
286000000,5731857,195279608,480790,0,492646,15709,10855,60,351,521,0,0,0,110,541,792,20,41,50,110,541,631
287000000,5675647,195279608,477228,0,490532,18793,13447,60,331,491,0,0,0,111,541,791,20,41,60,110,541,791
288000000,5679883,195279608,476384,0,492967,17671,12978,60,370,510,0,0,0,110,541,772,20,40,61,110,551,762
289000000,5748781,195279608,478248,0,492479,17272,12001,60,361,501,0,0,0,110,541,782,20,40,50,110,571,651
290000000,5696323,195279608,475167,0,491722,19371,13740,60,350,510,0,0,0,110,541,832,20,40,51,110,521,632
291000000,5749573,195279608,472597,0,488121,22555,16727,60,340,501,0,0,0,110,551,841,20,40,50,110,561,771
292000000,5712032,195279608,473311,0,488228,21900,16561,60,351,501,0,0,0,110,551,842,20,40,51,110,541,721
293000000,5721663,195279608,476836,0,491592,18232,13340,60,361,531,0,0,0,110,541,811,20,41,50,110,441,551
294000000,5691560,195279608,471617,0,496495,18545,13343,60,341,501,0,0,0,110,541,782,20,40,51,110,511,621
295000000,5731782,195279608,474654,0,491891,19510,13945,60,351,501,0,0,0,111,531,761,20,40,51,110,460,581
296000000,5653116,195279608,479206,0,488845,17971,13978,60,370,551,0,0,0,111,541,782,20,50,50,110,470,601
297000000,5723639,195279608,482206,0,491550,15191,11053,60,350,481,0,0,0,111,531,781,20,40,50,110,471,692
298000000,5834863,195279608,486211,0,488861,14555,10373,60,341,511,0,0,0,110,531,772,20,50,60,110,451,551
